iter	Passed	Remaining
718	16448	6428
719	16470	6405
720	16493	6382
721	16517	6359
722	16538	6336
723	16560	6313
724	16584	6290
725	16607	6267
726	16629	6244
727	16652	6221
728	16676	6199
729	16698	6176
730	16721	6153
731	16744	6130
732	16765	6107
733	16787	6083
734	16811	6061
735	16832	6037
736	16855	6014
737	16877	5991
738	16900	5968
739	16922	5945
740	16945	5923
741	16967	5899
742	16990	5876
743	17014	5854
744	17036	5831
745	17059	5808
746	17080	5785
747	17104	5762
748	17126	5739
749	17147	5715
750	17171	5693
751	17194	5670
752	17216	5647
753	17239	5624
754	17263	5602
755	17285	5579
756	17307	5555
757	17330	5533
758	17353	5510
759	17377	5487
760	17399	5464
761	17421	5441
762	17447	5419
763	17470	5396
764	17493	5373
765	17515	5350
766	17537	5327
767	17561	5304
768	17583	5282
769	17608	5259
770	17629	5236
771	17650	5212
772	17673	5189
773	17695	5167
774	17717	5143
775	17739	5120
776	17763	5098
777	17785	5074
778	17807	5052
779	17829	5028
780	17852	5005
781	17875	4983
782	17897	4960
783	17919	4936
784	17941	4913
785	17965	4891
786	17988	4868
787	18012	4845
788	18033	4822
789	18056	4799
790	18078	4776
791	18100	4753
792	18124	4731
793	18149	4708
794	18172	4685
795	18194	4662
796	18216	4639
797	18239	4617
798	18262	4594
799	18284	4571
800	18308	4548
801	18329	4525
802	18351	4502
803	18375	4479
804	18400	4457
805	18423	4434
806	18444	4411
807	18467	4388
808	18490	4365
809	18511	4342
810	18534	4319
811	18558	4296
812	18581	4274
813	18605	4251
814	18626	4228
815	18649	4205
816	18672	4182
817	18694	4159
818	18716	4136
819	18738	4113
820	18760	4090
821	18782	4067
822	18804	4044
823	18826	4021
824	18848	3998
825	18872	3975
826	18896	3952
827	18919	3930
828	18941	3907
829	18963	3884
830	18988	3861
831	19010	3838
832	19031	3815
833	19053	3792
834	19076	3769
835	19099	3746
836	19119	3723
837	19141	3700
838	19163	3677
839	19187	3654
840	19209	3631
841	19232	3608
842	19255	3586
843	19277	3563
844	19301	3540
845	19323	3517
846	19346	3494
847	19368	3471
848	19393	3449
849	19415	3426
850	19439	3403
851	19462	3380
852	19486	3358
853	19509	3335
854	19531	3312
855	19554	3289
856	19576	3266
857	19597	3243
858	19620	3220
859	19643	3197
860	19667	3175
861	19688	3152
862	19711	3129
863	19734	3106
864	19757	3083
865	19779	3060
866	19804	3037
867	19827	3015
868	19851	2992
869	19874	2969
870	19897	2946
871	19920	2924
872	19942	2901
873	19964	2878
874	19986	2855
875	20008	2832
876	20031	2809
877	20054	2786
878	20076	2763
879	20099	2740
880	20121	2717
881	20144	2695
882	20167	2672
883	20190	2649
884	20212	2626
885	20235	2603
886	20257	2580
887	20280	2557
888	20303	2535
889	20325	2512
890	20349	2489
891	20372	2466
892	20396	2443
893	20418	2420
894	20440	2398
895	20463	2375
896	20486	2352
897	20509	2329
898	20532	2306
899	20554	2283
900	20578	2261
901	20600	2238
902	20623	2215
903	20650	2192
904	20671	2169
905	20695	2147
906	20717	2124
907	20740	2101
908	20763	2078
909	20786	2055
910	20810	2033
911	20833	2010
912	20856	1987
913	20879	1964
914	20901	1941
915	20923	1918
916	20945	1895
917	20969	1873
918	20992	1850
919	21015	1827
920	21038	1804
921	21061	1781
922	21083	1758
923	21106	1735
924	21127	1713
925	21150	1690
926	21175	1667
927	21197	1644
928	21219	1621
929	21242	1598
930	21266	1576
931	21289	1553
932	21312	1530
933	21334	1507
934	21356	1484
935	21381	1461
936	21403	1439
937	21427	1416
938	21450	1393
939	21473	1370
940	21497	1347
941	21518	1324
942	21541	1302
943	21564	1279
944	21586	1256
945	21609	1233
946	21632	1210
947	21655	1187
948	21678	1165
949	21700	1142
950	21721	1119
951	21744	1096
952	21767	1073
953	21788	1050
954	21810	1027
955	21833	1004
956	21856	982
957	21879	959
958	21901	936
959	21924	913
960	21947	890
961	21970	867
962	21993	845
963	22014	822
964	22036	799
965	22059	776
966	22081	753
967	22103	730
968	22125	707
969	22147	684
970	22169	662
971	22192	639
972	22214	616
973	22237	593
974	22261	570
975	22283	547
976	22305	525
977	22327	502
978	22349	479
979	22373	456
980	22396	433
981	22418	410
982	22441	388
983	22463	365
984	22486	342
985	22509	319
986	22531	296
987	22554	273
988	22575	251
989	22597	228
990	22620	205
991	22643	182
992	22666	159
993	22689	136
994	22710	114
995	22734	91
996	22758	68
997	22780	45
998	22802	22
999	22825	0
